Name,Prem City,Prem State,Map color,Alt Telephone,Aphis Livestock Market Id,Contact,Mail City,Mail State,Mail Zip,Mailing Address,Name,Prem Address,Prem City,Prem State,Primary Telephone,Latitude (generated),Longitude (generated)
"Zumbrota Cattle Company, Inc.",Zumbrota,MN,Services Offered,,MN146,Tom Webster,Zumbrota,MN,55992,41622 CO 6 Blvd.,"Zumbrota Cattle Company, Inc.",41622 CO 6 Blvd.,Zumbrota,MN,507-732-4545,44.294,-92.6689
Zimmerman Auction Company,Elma,IA,Services Offered,,IA401,Eli Zimmerman,Elma,IA,50628,18072 Addison,Zimmerman Auction Company,18072 Addison,Elma,IA,641-982-4802,43.2466,-92.436
Yellow Jacket Livestock Auction,Lewis,CO,Services Offered,,CO1002,Zane Odell,,,,,Yellow Jacket Livestock Auction,19245 Road X,Lewis,CO,(970)749-5476,37.4997,-108.6693
Y & R Livestock Sales,Ripley,MS,Services Offered,,MS095,Michael Robbins,Ripley,MS,38663,115 Martin Street,Y & R Livestock Sales,115 Martin Street,Ripley,MS,662-891-6554,34.7298,-88.9506
Wyoming County Stockyards,Castile,NY,Services Offered,,NY1027,Keith Middaugh,Scio,NY,14880,4105 irons rd,Wyoming County Stockyards,6073 Rt..19A,Castile,NY,(585)808-6493,42.629,-78.0545
Wyalusing Livestock Market and Auction,Rome,PA,Services Offered,,PA1024,Michelle Harnish,Rome,PA,18837,30506 Rte 187,Wyalusing Livestock Market and Auction,30506 Rte 187,Rome,PA,(570)247-8300,41.8584,-76.3408
"Wright County Livestock Auction, LLC",Mountain Grove,MO,Services Offered,,MO1096,Brandon Barton,Mountain Grove,MO,65711,P.O. Box 232,"Wright County Livestock Auction, LLC",8915 Business 60,Mountain Grove,MO,,37.1306,-92.2635
Woody's Auction Market,Woodland,WA,Services Offered,,WA014,Diane Marshall,Woodland,WA,98674,40206 NW Cardia Hill Rd,Woody's Auction Market,40206 NW Cardia Hill Rd,Woodland,WA,360-225-7974,45.911,-122.7408
"Woodward Livestock Auction, Inc.",Woodward,OK,Services Offered,,OK1015,Seth Hale,Woodward,,73802,P.O. Box 1082,"Woodward Livestock Auction, Inc.",900 N. Lakeview Drive,Woodward,OK,,36.4336,-99.3904
"Woodson County Sheep Auction, Inc.",Yates Center,KS,Services Offered,,KS1027,Dale Lanham,Yates Center,KS,66783,PO Box 91,"Woodson County Sheep Auction, Inc.",701 South Fry,Yates Center,KS,(620)625-3350,37.8811,-95.7333
Woodbine Saddle Club @ 4 County Fairgrounds,Dunlap,IA,Services Offered,,IA1003,Hazel Mohn     Manager,Woodbine,IA,51521,61  Busbrown Drive  P.O. Box 114,Woodbine Saddle Club @ 4 County Fairgrounds,405 N 10th Street,Dunlap,IA,(712)647-2899,41.8544,-95.6006
WNC Regional Livestock Center,Canton,NC,Services Offered,,NC084,John M. Queen III,Canton,NC,28716,474 Stock Dr.,WNC Regional Livestock Center,474 Stock Dr.,Canton,NC,828-646-3700,35.5329,-82.8374
"Wishek Livestock Sales, Inc.",Wishek,ND,Services Offered,701-452-2306,ND047,Doug Kilen,Wishek,ND,58495,P.O. Box 401,"Wishek Livestock Sales, Inc.",7965 40th Ave SE,Wishek,ND,701-452-2100,46.2569,-99.5571
Winterset Sale Barn,Winterset,IA,Services Offered,,IA1007,"John Porter, Colin and Ashley Panzi",Winterset,IA,50273,P O Box 149,Winterset Sale Barn,1204 W. Summit Street,Winterset,IA,(515)571-5776,41.3308,-94.0138
"Winter Livestock, Inc.",Dodge City,KS,Services Offered,,KS1020,Brian Winter,Dodge City,KS,67801,1414 East Trail,"Winter Livestock, Inc.",1414 East Trail,Dodge City,KS,(620)225-4159,37.7528,-100.0171
