LicenseYear,Opportunity,Method,Animal,UnitNumberTypeText,HarvestTotal
2025,General Season,Archery,Mule Deer,Blue Mountains MDMZ,27
2025,General Season,Modern Firearm,Mule Deer,Blue Mountains MDMZ,931
2025,General Season,Multiple Weapons,Mule Deer,Blue Mountains MDMZ,76
2025,General Season,Muzzleloader,Mule Deer,Blue Mountains MDMZ,50
2025,General Season,Archery,White-tailed Deer,Blue Mountains WTDMZ,12
2025,General Season,Modern Firearm,White-tailed Deer,Blue Mountains WTDMZ,320
2025,General Season,Multiple Weapons,White-tailed Deer,Blue Mountains WTDMZ,39
2025,General Season,Muzzleloader,White-tailed Deer,Blue Mountains WTDMZ,39
2025,General Season,Muzzleloader,White-tailed Deer,Columbia Basin WTDMZ,0
2025,General Season,Archery,White-tailed Deer,Columbia Basin WTDMZ,3
2025,General Season,Modern Firearm,White-tailed Deer,Columbia Basin WTDMZ,41
2025,General Season,Multiple Weapons,White-tailed Deer,Columbia Basin WTDMZ,2
2025,General Season,Archery,Mule Deer,Columbia Plateau MDMZ,151
2025,General Season,Multiple Weapons,Mule Deer,Columbia Plateau MDMZ,290
2025,General Season,Modern Firearm,Mule Deer,Columbia Plateau MDMZ,2228
2025,General Season,Muzzleloader,Mule Deer,Columbia Plateau MDMZ,279
2025,General Season,Modern Firearm,Mule Deer,East Columbia Gorge MDMZ,301
2025,General Season,Muzzleloader,Mule Deer,East Columbia Gorge MDMZ,43
2025,General Season,Archery,Mule Deer,East Columbia Gorge MDMZ,38
2025,General Season,Multiple Weapons,Mule Deer,East Columbia Gorge MDMZ,38
2025,General Season,Archery,Mule Deer,East Slope Cascades MDMZ,213
2025,General Season,Modern Firearm,Mule Deer,East Slope Cascades MDMZ,1333
2025,General Season,Muzzleloader,Mule Deer,East Slope Cascades MDMZ,93
2025,General Season,Multiple Weapons,Mule Deer,East Slope Cascades MDMZ,248
2025,General Season,Modern Firearm,Mule Deer,Naches MDMZ,213
2025,General Season,Multiple Weapons,Mule Deer,Naches MDMZ,45
2025,General Season,Archery,Mule Deer,Naches MDMZ,52
2025,General Season,Muzzleloader,Mule Deer,Naches MDMZ,49
2025,General Season,Multiple Weapons,White-tailed Deer,North Cascades WTDMZ,30
2025,General Season,Modern Firearm,White-tailed Deer,North Cascades WTDMZ,92
2025,General Season,Muzzleloader,White-tailed Deer,North Cascades WTDMZ,10
2025,General Season,Archery,White-tailed Deer,North Cascades WTDMZ,21
2025,General Season,Modern Firearm,Mule Deer,Northern Rocky Mountains MDMZ,51
2025,General Season,Archery,Mule Deer,Northern Rocky Mountains MDMZ,4
2025,General Season,Muzzleloader,Mule Deer,Northern Rocky Mountains MDMZ,0
2025,General Season,Multiple Weapons,Mule Deer,Northern Rocky Mountains MDMZ,3
2025,General Season,Modern Firearm,Mule Deer,Okanogan Highlands MDMZ,379
2025,General Season,Muzzleloader,Mule Deer,Okanogan Highlands MDMZ,52
2025,General Season,Multiple Weapons,Mule Deer,Okanogan Highlands MDMZ,62
2025,General Season,Archery,Mule Deer,Okanogan Highlands MDMZ,18
2025,General Season,Modern Firearm,White-tailed Deer,Okanogan Highlands WTDMZ,418
2025,General Season,Multiple Weapons,White-tailed Deer,Okanogan Highlands WTDMZ,71
2025,General Season,Muzzleloader,White-tailed Deer,Okanogan Highlands WTDMZ,52
2025,General Season,Archery,White-tailed Deer,Okanogan Highlands WTDMZ,138
2025,General Season,Archery,White-tailed Deer,Palouse WTDMZ,21
2025,General Season,Muzzleloader,White-tailed Deer,Palouse WTDMZ,28
2025,General Season,Modern Firearm,White-tailed Deer,Palouse WTDMZ,149
2025,General Season,Multiple Weapons,White-tailed Deer,Palouse WTDMZ,17
2025,General Season,Muzzleloader,White-tailed Deer,Selkirk WTDMZ,56
2025,General Season,Archery,White-tailed Deer,Selkirk WTDMZ,85
2025,General Season,Modern Firearm,White-tailed Deer,Selkirk WTDMZ,1925
2025,General Season,Multiple Weapons,White-tailed Deer,Selkirk WTDMZ,120
