Zone,WMU_Number
Central,34
Central,35
Central,36
Central,37
Central,38
Central,39
Columbia,40
Columbia,41
Columbia,42
Columbia,43
Northeast,44
Northeast,45
Northeast,46
Northeast,47
Northeast,48
Northeast,49
Northeast,50
Northeast,51
Northeast,52
Northeast,53
Northeast,54
Northeast,55
Northeast,56
Northeast,57
Northeast,58
Northeast,59
Northeast,60
Northeast,61
Northeast,62
Northeast,63
Northeast,64
Northeast,65
Northwest,10
Nothwest,11
Nothwest,12
Nothwest,13
Nothwest,14
Nothwest,15
Nothwest,16
Nothwest,17
Nothwest,18
Nothwest,19
Nothwest,20
South Central,31
South Central,32
South Central,33
South Central,75
South Central,76
South Central,77
Southeast,66
Southeast,67
Southeast,68
Southeast,69
Southeast,70
Southeast,71
Southeast,72
Southeast,73
Southeast,74
Southwest,21
Southwest,22
Southwest,23
Southwest,24
Southwest,25
Southwest,26
Southwest,27
Southwest,28
Southwest,29
Southwest,30
